2025-02-24 12:08:42,422 - MacroTester - INFO - Visualization initialized (headless: True)
2025-02-24 12:08:42,422 - MacroTester - INFO - DirectInput initialized successfully
2025-02-24 12:08:42,422 - MacroTester - INFO - Test mode: Using mock window Test Window
2025-02-24 12:08:45,422 - MacroTester - INFO - Started recording mouse movements
Recording mouse movements for 10 seconds...
2025-02-24 12:08:53,452 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 793, 'y': 107, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398933.4528596}
2025-02-24 12:08:53,553 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 784, 'y': 119, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398933.5531504}
2025-02-24 12:08:53,653 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 771, 'y': 131, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398933.6534152}
2025-02-24 12:08:53,753 - MacroTester - DEBUG - Recorded action: {'type': 'scroll', 'x': None, 'y': None, 'button': 'left', 'duration': 0.1, 'scroll_amount': -2, 'key_code': None, 'text': None, 'timestamp': 1740398933.7537677}
2025-02-24 12:08:53,854 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 735, 'y': 157, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398933.8541245}
2025-02-24 12:08:53,954 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 711, 'y': 170, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398933.9544868}
2025-02-24 12:08:54,054 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 684, 'y': 184, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398934.0547848}
2025-02-24 12:08:54,155 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 655, 'y': 198, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398934.1551607}
2025-02-24 12:08:54,255 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 623, 'y': 212, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398934.2554648}
2025-02-24 12:08:54,355 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 588, 'y': 226, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398934.3557932}
2025-02-24 12:08:54,456 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 552, 'y': 241, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398934.4561305}
2025-02-24 12:08:54,556 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 514, 'y': 256, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398934.5564437}
2025-02-24 12:08:54,656 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 475, 'y': 271, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398934.6567736}
2025-02-24 12:08:54,757 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 436, 'y': 286, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398934.7570944}
2025-02-24 12:08:54,857 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 396, 'y': 301, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398934.85742}
2025-02-24 12:08:54,957 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 356, 'y': 316, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398934.95776}
2025-02-24 12:08:55,058 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 316, 'y': 331, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398935.0580974}
2025-02-24 12:08:55,158 - MacroTester - DEBUG - Recorded action: {'type': 'click', 'x': 277, 'y': 346, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398935.1585376}
2025-02-24 12:08:55,258 - MacroTester - DEBUG - Recorded drag start: {'type': 'drag', 'x': 277, 'y': 346, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398935.258824}
2025-02-24 12:08:55,259 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 240, 'y': 361, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398935.259027}
2025-02-24 12:08:55,359 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 204, 'y': 375, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398935.3592966}
2025-02-24 12:08:55,461 - MacroTester - INFO - Saved 107 actions to recorded_macro.json
Recording stopped
Playing back recorded macro in 3 seconds...
2025-02-24 12:08:58,463 - MacroTester - INFO - Loaded 107 actions from recorded_macro.json
Error loading visualization: MacroVisualizer.add_point() takes from 3 to 4 positional arguments but 5 were given
2025-02-24 12:08:58,463 - MacroTester - DEBUG - Executed action: {'type': 'move', 'x': 400, 'y': 599, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398925.422953}
